x,y
8.08E-05,-0.002919801
8.05E-05,-0.007772627
8.36E-05,-0.007542419
8.20E-05,-0.002948402
8.40E-05,-0.002942059
8.45E-05,-0.002924267
8.08E-05,-0.007744774
8.25E-05,-0.003008555
8.20E-05,-0.007647885
8.45E-05,-0.007466006
8.25E-05,-0.007601384
8.40E-05,-0.007495061
8.46E-05,-0.003053917
7.45E-05,-0.005075164
8.55E-05,-0.007388145
7.70E-05,-0.004969926
8.03E-05,-0.003252594
8.26E-05,-0.003137067
8.03E-05,-0.004828239
7.99E-05,-0.004849649
7.99E-05,-0.003273126
8.46E-05,-0.007414755
8.26E-05,-0.0075362
8.11E-05,-0.003272286
8.11E-05,-0.004821107
7.83E-05,-0.004981612
8.38E-05,-0.003201289
8.92E-05,-0.007112136
8.15E-05,-0.004828826
7.58E-05,-0.005118354
8.08E-05,-0.003339027
8.15E-05,-0.003307039
8.82E-05,-0.007160083
8.08E-05,-0.004860014
8.57E-05,-0.003167756
8.41E-05,-0.004713321
8.11E-05,-0.007589812
7.53E-05,-0.005146632
7.90E-05,-0.004960808
8.41E-05,-0.003236803
8.47E-05,-0.003211484
8.21E-05,-0.004813674
8.38E-05,-0.007387962
8.21E-05,-0.00332173
8.67E-05,-0.003167137
8.58E-05,-0.007235998
7.92E-05,-0.004961076
8.66E-05,-0.00462015
8.62E-05,-0.004634072
8.41E-05,-0.007319977
8.47E-05,-0.00728921
8.68E-05,-0.007134529
8.66E-05,-0.003203249
8.62E-05,-0.003216429
8.60E-05,-0.003224614
8.50E-05,-0.004683396
8.60E-05,-0.004642935
8.50E-05,-0.003262038
8.65E-05,-0.004618207
8.65E-05,-0.003224034
8.47E-05,-0.004687949
8.66E-05,-0.007079201
8.62E-05,-0.007093353
8.60E-05,-0.007102524
8.25E-05,-0.004782099
8.50E-05,-0.004653287
9.86E-05,-0.006399545
8.55E-05,-0.001846619
8.36E-05,-0.001872751
8.77E-05,-0.001820857
8.01E-05,-0.00190849
8.44E-05,-0.001863227
8.42E-05,-0.001865675
8.67E-05,-0.00184857
8.80E-05,-0.001828908
8.79E-05,-0.001856482
7.70E-05,-0.001983962
8.07E-05,-0.001950981
7.88E-05,-0.001992579
8.33E-05,-0.001938002
8.29E-05,-0.001947473
8.06E-05,-0.002000571
8.41E-05,-0.001972939
8.32E-05,-0.001992559
8.19E-05,-0.002021193
8.62E-05,-0.001986199
7.67E-05,-0.002091763
7.33E-05,-0.00219174
7.33E-05,-0.002192309
7.53E-05,-0.002202471
7.92E-05,-0.002160645
7.88E-05,-0.002173594
8.31E-05,-0.002121289
7.45E-05,-0.002229802
7.41E-05,-0.002243369
7.47E-05,-0.002220542
7.46E-05,-0.00232065
7.71E-05,-0.00231446
7.28E-05,-0.002516344
7.33E-05,-0.002488981
7.64E-05,-0.002340719
8.12E-05,-0.002260707
7.80E-05,-0.002373038
8.26E-05,-0.002299159
7.73E-05,-0.002402582
7.34E-05,-0.002586858
7.36E-05,-0.002576659
7.78E-05,-0.002487645
7.54E-05,-0.002589745
7.66E-05,-0.002438009
7.85E-05,-0.002453314
7.36E-05,-0.002684363
6.59E-05,-0.004998559
6.66E-05,-0.004931789
7.00E-05,-0.004777515
6.60E-05,-0.005109961
6.46E-05,-0.005251817
6.44E-05,-0.005264566
6.71E-05,-0.005132633
7.07E-05,-0.005050154
7.00E-05,-0.005102674
6.72E-05,-0.00523454
6.72E-05,-9.25E-05
6.30E-05,-0.005591435
6.90E-05,-0.00527034
6.30E-05,-0.000353952
6.19E-05,-0.005695205
6.54E-05,-0.005471662
7.19E-05,-0.005124469
7.18E-05,-0.005137117
6.19E-05,-0.000427698
6.54E-05,-0.000444671
6.90E-05,-0.000450964
7.06E-05,-0.00528526
7.06E-05,-0.000742707
6.89E-05,-0.005419249
6.89E-05,-0.000843006
6.46E-05,-0.005746628
7.13E-05,-0.0053394
5.31E-05,-0.004482064
6.46E-05,-0.001108093
6.46E-05,-0.00387161
7.13E-05,-0.001033125
6.49E-05,-0.005761082
6.49E-05,-0.005762105
7.09E-05,-0.00539663
5.80E-05,-0.00427884
6.49E-05,-0.001265071
6.49E-05,-0.001266012
6.49E-05,-0.003951989
6.49E-05,-0.003953002
6.19E-05,-0.006002157
5.80E-05,-0.001313062
7.09E-05,-0.001206363
7.09E-05,-0.003705028
6.49E-05,-0.001198695
6.49E-05,-0.001199733
5.75E-05,-0.004410664
5.78E-05,-0.004388709
6.19E-05,-0.001477706
6.19E-05,-0.004156822
6.23E-05,-0.005988094
6.60E-05,-0.005720998
6.85E-05,-0.005570159
5.78E-05,-0.001523543
6.19E-05,-0.001411746
6.10E-05,-0.006083046
5.75E-05,-0.001544117
6.23E-05,-0.001613792
6.10E-05,-0.00171147
6.23E-05,-0.004194757
6.10E-05,-0.004275106
6.60E-05,-0.001507107
6.60E-05,-0.004010613
6.85E-05,-0.001484205
6.85E-05,-0.003895018
6.69E-05,-0.005669393
6.55E-05,-0.005754495
7.06E-05,-0.005433768
7.70E-05,-0.005062888
7.69E-05,-0.005068402
6.23E-05,-0.001532776
6.69E-05,-0.001582665
6.69E-05,-0.003987541
7.06E-05,-0.001481455
7.06E-05,-0.00381273
7.70E-05,-0.001334433
7.69E-05,-0.001340048
7.51E-05,-0.00515664
6.60E-05,-0.001432212
6.10E-05,-0.001608206
5.87E-05,-0.00442563
6.13E-05,-0.004278488
6.55E-05,-0.001670225
6.85E-05,-0.001400366
6.55E-05,-0.00406854
6.73E-05,-0.005627436
7.70E-05,-0.003557385
7.69E-05,-0.003561741
7.72E-05,-0.005032433
5.88E-05,-0.001733521
6.09E-05,-0.004306339
6.69E-05,-0.001485237
6.73E-05,-0.001667146
6.73E-05,-0.003973381
7.06E-05,-0.001380358
7.51E-05,-0.001433304
7.51E-05,-0.003623947
7.72E-05,-0.001402469
8.35E-05,-0.004708107
6.09E-05,-0.001712212
6.13E-05,-0.001689051
6.55E-05,-0.001562488
7.35E-05,-0.005186406
7.71E-05,-0.004991382
8.61E-05,-0.004579022
8.94E-05,-0.004440915
6.73E-05,-0.001541072
7.72E-05,-0.003545952
7.15E-05,-0.005263604
8.71E-05,-0.001220611
8.71E-05,-0.004502182
6.33E-05,-0.001891798
7.35E-05,-0.00156685
7.35E-05,-0.003666757
7.71E-05,-0.001457518
7.67E-05,-0.004941922
8.91E-05,-0.00439572
7.15E-05,-0.001651788
7.71E-05,-0.003526063
7.22E-05,-0.005161115
7.64E-05,-0.004949587
8.00E-05,-0.004769761
7.89E-05,-0.004799194
8.43E-05,-0.001299277
8.43E-05,-0.004578355
8.91E-05,-0.001182862
7.07E-05,-0.005204701
7.64E-05,-0.001513225
7.66E-05,-0.001504189
7.41E-05,-0.005015683
8.00E-05,-0.001410034
7.89E-05,-0.001444355
7.71E-05,-0.004844982
7.22E-05,-0.001650625
7.27E-05,-0.005049013
7.63E-05,-0.004863869
7.59E-05,-0.004871148
8.71E-05,-0.006653374
8.39E-05,-0.001314943
8.35E-05,-0.001323939
8.39E-05,-0.00451114
8.35E-05,-0.004518251
8.77E-05,-0.00122155
8.80E-05,-0.001215813
8.77E-05,-0.004353659
8.80E-05,-0.004349211
7.07E-05,-0.001703455
7.41E-05,-0.001595602
7.63E-05,-0.001526239
7.71E-05,-0.001499813
7.59E-05,-0.001535859
8.91E-05,-0.006482961
8.19E-05,-0.001361225
8.19E-05,-0.004549226
8.53E-05,-0.004392471
8.98E-05,-0.004234904
7.18E-05,-0.001669485
7.27E-05,-0.001639771
8.53E-05,-0.003137171
8.53E-05,-0.001272782
8.98E-05,-0.002990573
8.98E-05,-0.0011683
9.78E-05,-0.00100763
